price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,lat,long,yrs_old,distance_from_city,SD_Auburn,SD_Bellevue,SD_Enumclaw,SD_FederalWay,SD_Highline,SD_Issaquah,SD_Kent,SD_LakeWashington,SD_MercerIsland,SD_Northshore,SD_Renton,SD_Riverview,SD_Seattle,SD_Shoreline,SD_SnoqualmieValley,SD_Tahoma,SD_Tukwila,SD_VashonIsland
221900.0,3,1.0,1.0,0.0,0.0,3,7,47.5112,-122.257,59,7.6227860195436055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538000.0,3,2.25,2.0,0.0,0.0,3,7,47.721,-122.319,63,7.766476387009191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
180000.0,2,1.0,1.0,0.0,0.0,3,6,47.7379,-122.233,82,8.561144732081237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604000.0,4,3.0,1.0,0.0,0.0,5,7,47.5208,-122.393,49,6.655340065489545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
510000.0,3,2.0,1.0,0.0,0.0,3,8,47.6168,-122.045,28,7.402273389165365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257500.0,3,2.25,2.0,0.0,0.0,3,7,47.3097,-122.327,19,20.698039109138755,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291850.0,3,1.5,1.0,0.0,0.0,3,7,47.4095,-122.315,52,13.83371899884151,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229500.0,3,1.0,1.0,0.0,0.0,3,7,47.5123,-122.337,55,6.695231903649684,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323000.0,3,2.5,2.0,0.0,0.0,3,7,47.3684,-122.031,12,18.88853093040576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
662500.0,3,2.5,1.0,0.0,0.0,3,8,47.6007,-122.145,50,2.9301612660713805,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
